,MMSI,Date,Time,Latitude,Longitude,SOG,COG,HDG
311,440018280,  2017/10/01,6:06:41,34.7825,126.342333,13.3,216.2,277
312,440018280,  2017/10/01,6:06:50,34.782067,126.341967,13.3,215.9,277
313,440018280,  2017/10/01,6:07:01,34.78145,126.341417,13.3,216.5,278
314,440018280,  2017/10/01,6:07:11,34.780983,126.341,13.2,216.4,277
315,440018280,  2017/10/01,6:07:30,34.78005,126.340183,13.2,215.2,277
316,440018280,  2017/10/01,6:07:41,34.7795,126.3397,13.3,214.6,276
317,440018280,  2017/10/01,6:07:50,34.779067,126.33935,13.2,213.6,277
318,440018280,  2017/10/01,6:08:01,34.77845,126.33885,13.1,213.2,276
319,440018280,  2017/10/01,6:08:11,34.777933,126.33845,13.2,214.2,277
320,440018280,  2017/10/01,6:08:20,34.777517,126.338083,13.1,215.8,277
321,440018280,  2017/10/01,6:08:30,34.776983,126.3376,12.9,218.0,278
322,440018280,  2017/10/01,6:08:41,34.77655,126.337167,12.9,218.8,278
323,440018280,  2017/10/01,6:08:50,34.776067,126.336717,13.0,217.9,278
324,440018280,  2017/10/01,6:09:01,34.7756,126.336267,13.1,217.4,277
325,440018280,  2017/10/01,6:09:11,34.775033,126.335733,13.2,217.5,277
326,440018280,  2017/10/01,6:09:20,34.774633,126.33535,13.2,217.8,278
327,440018280,  2017/10/01,6:09:30,34.774183,126.334933,13.2,217.8,277
328,440018280,  2017/10/01,6:09:41,34.773583,126.334383,13.2,216.8,277
329,440018280,  2017/10/01,6:09:50,34.773217,126.33405,13.1,216.2,276
330,440018280,  2017/10/01,6:10:01,34.77265,126.333567,13.2,215.2,277
331,440018280,  2017/10/01,6:10:11,34.772067,126.333083,13.2,214.5,275
332,440018280,  2017/10/01,6:10:20,34.771683,126.332767,13.2,213.9,275
333,440018280,  2017/10/01,6:10:30,34.771183,126.33235,13.2,212.9,275
334,440018280,  2017/10/01,6:10:41,34.77055,126.331833,13.2,213.3,276
335,440018280,  2017/10/01,6:10:50,34.77015,126.331533,13.2,213.8,276
336,440018280,  2017/10/01,6:11:01,34.769567,126.33105,13.1,214.8,276
337,440018280,  2017/10/01,6:11:11,34.769067,126.330633,13.1,215.3,277
338,440018280,  2017/10/01,6:11:30,34.768183,126.329833,13.1,216.7,276
339,440018280,  2017/10/01,6:11:41,34.76765,126.32935,13.0,217.5,278
340,440018280,  2017/10/01,6:11:50,34.767217,126.328933,13.1,217.4,277
341,440018280,  2017/10/01,6:12:11,34.766183,126.327983,13.1,217.4,278
342,440018280,  2017/10/01,6:12:20,34.765717,126.32755,13.0,217.2,278
343,440018280,  2017/10/01,6:12:31,34.7652,126.32705,13.0,217.4,278
344,440018280,  2017/10/01,6:12:41,34.764667,126.32655,13.0,217.7,278
345,440018280,  2017/10/01,6:13:01,34.7638,126.325733,13.0,217.5,278
346,440018280,  2017/10/01,6:13:11,34.763283,126.325267,13.0,216.6,278
791,440018280,  2017/10/01,9:17:04,34.760067,126.32655,13.7,38.7,2
792,440018280,  2017/10/01,9:17:08,34.760317,126.3268,13.8,38.3,2
794,440018280,  2017/10/01,9:17:11,34.760433,126.326917,13.7,38.1,2
795,440018280,  2017/10/01,9:17:17,34.760767,126.327217,13.6,37.4,2
797,440018280,  2017/10/01,9:17:20,34.760883,126.327333,13.5,36.5,1
798,440018280,  2017/10/01,9:17:24,34.761067,126.327483,13.6,35.3,1
799,440018280,  2017/10/01,9:17:27,34.761283,126.327667,13.5,35.1,2
801,440018280,  2017/10/01,9:17:30,34.7614,126.327783,13.6,35.3,2
802,440018280,  2017/10/01,9:17:34,34.761617,126.327967,13.6,35.2,1
803,440018280,  2017/10/01,9:17:37,34.761733,126.328067,13.6,34.8,0
805,440018280,  2017/10/01,9:17:40,34.762,126.328283,13.5,34.9,0
806,440018280,  2017/10/01,9:17:43,34.762117,126.3284,13.6,34.8,0
807,440018280,  2017/10/01,9:17:44,34.762117,126.3284,13.6,34.8,0
808,440018280,  2017/10/01,9:17:47,34.76225,126.3285,13.5,34.4,0
810,440018280,  2017/10/01,9:17:47,34.762333,126.328567,13.5,34.5,0
811,440018280,  2017/10/01,9:17:50,34.762467,126.328683,13.6,34.2,0
812,440018280,  2017/10/01,9:17:54,34.76265,126.328833,13.5,34.3,0
813,440018280,  2017/10/01,9:17:57,34.7628,126.328967,13.6,33.5,359
814,440018280,  2017/10/01,9:17:57,34.7628,126.328967,13.6,33.5,359
816,440018280,  2017/10/01,9:18:00,34.762983,126.3291,13.6,33.6,359
817,440018280,  2017/10/01,9:18:01,34.762983,126.3291,13.6,33.6,359
818,440018280,  2017/10/01,9:18:04,34.7632,126.329283,13.6,33.8,359
819,440018280,  2017/10/01,9:18:07,34.763333,126.329383,13.6,33.6,0
