,MMSI,Date,Time,Latitude,Longitude,SOG,COG,HDG
0,440311690,  2017/10/01,8:46:10,34.760128,126.32631,5.7,38.0,29
1,440311690,  2017/10/01,8:46:21,34.760312,126.326492,5.5,37.6,29
2,440311690,  2017/10/01,8:46:30,34.760537,126.326698,5.5,34.9,21
3,440311690,  2017/10/01,8:46:41,34.760693,126.32682,5.8,32.0,20
4,440311690,  2017/10/01,8:46:50,34.760738,126.326855,5.8,31.0,20
5,440311690,  2017/10/01,8:47:01,34.760852,126.326942,5.7,32.8,21
6,440311690,  2017/10/01,8:47:10,34.76092,126.326995,5.7,31.8,21
7,440311690,  2017/10/01,8:47:21,34.760967,126.32703,5.7,31.7,21
8,440311690,  2017/10/01,8:47:30,34.76115,126.327165,5.7,33.4,21
9,440311690,  2017/10/01,8:47:40,34.761218,126.327213,5.7,32.9,21
10,440311690,  2017/10/01,8:47:51,34.761287,126.327263,5.8,31.5,21
11,440311690,  2017/10/01,8:48:01,34.761378,126.327332,5.7,30.4,21
12,440311690,  2017/10/01,8:48:10,34.761423,126.327365,5.8,34.6,21
13,440311690,  2017/10/01,8:48:21,34.76166,126.327565,5.6,37.1,27
14,440311690,  2017/10/01,8:48:30,34.761805,126.32769,5.6,35.0,27
15,440311690,  2017/10/01,8:48:40,34.76187,126.327742,5.5,35.1,27
16,440311690,  2017/10/01,8:48:51,34.761933,126.327797,5.5,35.3,28
17,440311690,  2017/10/01,8:49:01,34.762018,126.327872,5.4,36.7,28
18,440311690,  2017/10/01,8:49:10,34.76206,126.327908,5.5,35.3,28
19,440311690,  2017/10/01,8:49:21,34.762228,126.328055,5.5,37.2,28
20,440311690,  2017/10/01,8:49:30,34.762272,126.328092,5.6,33.9,28
21,440311690,  2017/10/01,8:49:40,34.762935,126.328672,5.6,35.4,30
22,440311690,  2017/10/01,8:49:51,34.763147,126.328863,5.6,38.3,31
23,440311690,  2017/10/01,8:50:01,34.763337,126.32904,5.7,36.5,33
24,440311690,  2017/10/01,8:50:10,34.76354,126.329243,5.5,40.6,35
25,440311690,  2017/10/01,8:50:21,34.763777,126.329493,5.6,42.2,39
26,440311690,  2017/10/01,8:50:30,34.763927,126.329658,5.5,37.7,30
27,440311690,  2017/10/01,8:50:40,34.76417,126.329862,5.6,37.4,27
28,440311690,  2017/10/01,8:51:00,34.764332,126.329988,5.9,26.8,18
29,440311690,  2017/10/01,8:51:10,34.764403,126.330038,6.0,27.8,17
30,440311690,  2017/10/01,8:51:21,34.764478,126.330092,6.0,29.0,20
31,440311690,  2017/10/01,8:51:30,34.764618,126.330198,5.8,35.2,28
32,440311690,  2017/10/01,8:51:40,34.764788,126.330348,5.7,38.0,29
33,440311690,  2017/10/01,8:51:51,34.76483,126.330387,5.7,37.1,29
34,440311690,  2017/10/01,8:52:00,34.764933,126.330485,5.6,34.8,29
35,440311690,  2017/10/01,8:52:10,34.764997,126.330542,5.6,37.0,31
36,440311690,  2017/10/01,8:52:21,34.76508,126.330622,5.6,39.9,32
37,440311690,  2017/10/01,8:52:30,34.765122,126.330663,5.5,37.6,33
38,440311690,  2017/10/01,8:52:40,34.765183,126.330727,5.6,39.1,35
39,440311690,  2017/10/01,8:52:51,34.765243,126.330792,5.5,41.6,36
40,440311690,  2017/10/01,11:58:55,34.765322,126.330875,5.5,41.5,38
41,440311690,  2017/10/01,11:59:04,34.765398,126.33096,5.5,42.3,39
42,440311690,  2017/10/01,11:59:15,34.765453,126.331023,5.5,42.1,38
43,440311690,  2017/10/01,11:59:24,34.76551,126.331085,5.5,41.2,36
44,440311690,  2017/10/01,11:59:34,34.765708,126.331298,5.6,40.9,36
45,440311690,  2017/10/01,11:59:45,34.765787,126.33138,5.6,42.6,36
46,440311690,  2017/10/01,11:59:55,34.765845,126.331442,5.7,41.9,37
47,440311690,  2017/10/01,12:00:04,34.765922,126.331527,5.7,40.6,39
48,440311690,  2017/10/01,12:00:15,34.766017,126.331632,5.6,42.7,39
49,440311690,  2017/10/01,12:00:24,34.766422,126.33204,5.6,38.9,32
50,440311690,  2017/10/01,12:00:34,34.766645,126.332265,5.6,41.6,33
51,440311690,  2017/10/01,12:00:55,34.766873,126.332495,5.8,37.8,32
52,440311690,  2017/10/01,12:01:04,34.76706,126.332683,5.8,40.5,33
53,440311690,  2017/10/01,12:01:15,34.767245,126.332878,5.6,41.0,35
54,440311690,  2017/10/01,12:01:24,34.767485,126.33314,5.6,39.7,37
55,440311690,  2017/10/01,12:01:34,34.767635,126.333313,5.5,41.9,39
56,440311690,  2017/10/01,12:01:45,34.767847,126.333557,5.7,41.3,35
57,440311690,  2017/10/01,12:01:55,34.768067,126.33378,5.8,40.7,34
58,440311690,  2017/10/01,12:02:04,34.768245,126.33398,5.7,43.8,38
59,440311690,  2017/10/01,12:02:15,34.768425,126.33418,5.7,42.9,34
60,440311690,  2017/10/01,12:02:24,34.768672,126.334432,5.7,43.4,36
61,440311690,  2017/10/01,12:02:34,34.768832,126.334608,5.7,41.2,32
62,440311690,  2017/10/01,12:02:45,34.769062,126.334835,5.8,37.3,34
63,440311690,  2017/10/01,12:02:55,34.769282,126.335063,5.8,39.8,30
64,440311690,  2017/10/01,12:03:04,34.769482,126.33524,6.0,33.6,20
65,440311690,  2017/10/01,12:03:15,34.769647,126.335368,6.1,32.1,18
66,440311690,  2017/10/01,12:03:24,34.769697,126.335405,6.1,31.4,22
67,440311690,  2017/10/01,12:03:34,34.769792,126.335482,6.0,33.8,25
68,440311690,  2017/10/01,12:03:45,34.769882,126.335558,5.9,33.1,25
69,440311690,  2017/10/01,12:03:55,34.769972,126.335637,5.9,33.7,24
70,440311690,  2017/10/01,12:04:14,34.770017,126.335675,5.9,36.1,23
71,440311690,  2017/10/01,12:04:25,34.770108,126.33575,5.9,35.0,21
72,440311690,  2017/10/01,12:04:34,34.770153,126.335788,6.0,32.4,21
73,440311690,  2017/10/01,12:04:45,34.770247,126.335863,5.9,34.2,24
74,440311690,  2017/10/01,12:04:55,34.770337,126.335942,5.8,37.4,25
75,440311690,  2017/10/01,12:05:04,34.770425,126.33602,5.8,36.1,24
76,440311690,  2017/10/01,12:05:14,34.770647,126.336213,5.8,36.4,24
77,440311690,  2017/10/01,12:05:25,34.770843,126.336387,5.7,35.3,24
78,440311690,  2017/10/01,12:05:34,34.77104,126.336557,5.8,36.5,22
79,440311690,  2017/10/01,12:05:45,34.771313,126.33678,5.9,35.7,21
80,440311690,  2017/10/01,12:05:55,34.771495,126.336932,5.8,37.4,25
81,440311690,  2017/10/01,12:06:04,34.771753,126.33717,5.7,38.8,27
82,440311690,  2017/10/01,12:06:14,34.771938,126.337348,5.7,37.8,26
83,440311690,  2017/10/01,12:53:04,34.772148,126.337545,5.6,40.8,28
84,440311690,  2017/10/01,12:53:07,34.772332,126.337727,5.7,40.6,26
85,440311690,  2017/10/01,12:53:13,34.77256,126.337942,5.5,40.7,33
86,440311690,  2017/10/01,12:53:18,34.772677,126.338067,5.6,42.5,35
87,440311690,  2017/10/01,12:53:24,34.772733,126.33813,5.5,43.0,35
88,440311690,  2017/10/01,12:53:24,34.772887,126.3383,5.6,43.6,35
89,440311690,  2017/10/01,12:53:31,34.772963,126.338387,5.6,43.9,34
90,440311690,  2017/10/01,12:53:34,34.773022,126.338453,5.6,42.5,33
