,MMSI,Date,Time,Latitude,Longitude,SOG,COG,HDG
409,440320190,  2017/10/01,6:29:31,34.782667,126.3412,12.8,211.1,211
410,440320190,  2017/10/01,6:29:41,34.78215,126.3408,13.1,211.3,211
412,440320190,  2017/10/01,6:29:50,34.781667,126.34045,13.4,211.7,212
414,440320190,  2017/10/01,6:30:00,34.781083,126.340017,13.6,211.4,211
415,440320190,  2017/10/01,6:30:11,34.78055,126.339617,13.4,210.8,211
417,440320190,  2017/10/01,6:30:21,34.780017,126.33925,13.4,210.3,210
418,440320190,  2017/10/01,6:30:31,34.779433,126.338833,13.4,210.1,210
420,440320190,  2017/10/01,6:30:41,34.77895,126.338483,13.4,210.7,211
422,440320190,  2017/10/01,6:30:50,34.778467,126.338133,13.5,213.2,213
424,440320190,  2017/10/01,6:31:00,34.7779,126.33765,13.5,214.8,215
426,440320190,  2017/10/01,6:31:11,34.777383,126.3372,13.5,216.3,216
428,440320190,  2017/10/01,6:31:21,34.776883,126.33675,13.5,217.5,218
430,440320190,  2017/10/01,6:31:30,34.776383,126.336267,13.6,218.3,218
432,440320190,  2017/10/01,6:31:41,34.775817,126.335733,13.7,217.6,218
435,440320190,  2017/10/01,6:32:00,34.7749,126.334917,13.7,215.7,216
437,440320190,  2017/10/01,6:32:11,34.774283,126.334367,13.7,215.9,216
439,440320190,  2017/10/01,6:32:21,34.773817,126.333967,13.8,216.1,216
441,440320190,  2017/10/01,6:32:30,34.77335,126.33355,13.8,215.8,216
443,440320190,  2017/10/01,6:32:41,34.772783,126.33305,13.9,215.2,215
445,440320190,  2017/10/01,6:32:50,34.7723,126.33265,13.9,214.6,215
447,440320190,  2017/10/01,6:33:00,34.771717,126.332167,13.8,214.1,214
449,440320190,  2017/10/01,6:33:11,34.771183,126.331717,13.8,213.9,214
451,440320190,  2017/10/01,6:33:21,34.77065,126.331283,13.7,214.5,215
453,440320190,  2017/10/01,6:33:30,34.770183,126.330883,13.7,215.0,215
455,440320190,  2017/10/01,6:33:41,34.769617,126.3304,13.6,215.2,215
457,440320190,  2017/10/01,6:33:50,34.7691,126.32995,13.6,215.3,215
459,440320190,  2017/10/01,6:34:00,34.768617,126.32955,13.5,215.8,216
461,440320190,  2017/10/01,6:34:11,34.76795,126.328967,13.6,215.5,216
463,440320190,  2017/10/01,6:34:21,34.76755,126.328617,13.6,216.1,216
465,440320190,  2017/10/01,6:34:30,34.767033,126.32815,13.6,216.8,217
467,440320190,  2017/10/01,6:34:41,34.766517,126.327683,13.6,217.3,217
469,440320190,  2017/10/01,6:34:50,34.766067,126.32725,13.6,217.9,218
471,440320190,  2017/10/01,6:35:00,34.765567,126.326783,13.6,218.3,218
474,440320190,  2017/10/01,6:35:20,34.7646,126.325833,13.6,218.9,219
476,440320190,  2017/10/01,6:35:31,34.76405,126.325317,13.6,218.9,219
1103,440320190,  2017/10/01,10:50:57,34.78145,126.339933,13.8,210.9,211
1105,440320190,  2017/10/01,10:51:07,34.78085,126.3395,13.7,211.0,211
1107,440320190,  2017/10/01,10:51:17,34.78035,126.339133,13.7,211.0,211
1109,440320190,  2017/10/01,10:51:27,34.7798,126.338733,13.7,211.3,211
1111,440320190,  2017/10/01,10:51:37,34.779317,126.338383,13.6,211.5,212
1113,440320190,  2017/10/01,10:51:47,34.778833,126.338017,13.6,211.3,211
1115,440320190,  2017/10/01,10:51:57,34.778183,126.337533,13.6,210.9,211
1117,440320190,  2017/10/01,10:52:08,34.77765,126.33715,13.6,211.0,211
1119,440320190,  2017/10/01,10:52:17,34.777117,126.33675,13.6,211.5,212
1121,440320190,  2017/10/01,10:52:27,34.776583,126.336333,13.6,212.7,213
1123,440320190,  2017/10/01,10:52:37,34.7761,126.335967,13.6,213.2,213
1125,440320190,  2017/10/01,10:52:47,34.775517,126.3355,13.6,213.4,213
1127,440320190,  2017/10/01,10:52:57,34.775,126.335067,13.6,213.8,214
1129,440320190,  2017/10/01,10:53:08,34.774467,126.334633,13.6,214.5,215
1130,440320190,  2017/10/01,10:53:17,34.77405,126.334283,13.6,215.1,215
1132,440320190,  2017/10/01,10:53:28,34.773383,126.333717,13.6,216.2,216
1134,440320190,  2017/10/01,10:53:37,34.772917,126.3333,13.5,217.1,217
1136,440320190,  2017/10/01,10:53:48,34.772367,126.332783,13.4,218.0,218
1138,440320190,  2017/10/01,10:53:57,34.771883,126.332317,13.5,218.0,218
1140,440320190,  2017/10/01,10:54:08,34.771533,126.331983,13.5,218.2,218
1142,440320190,  2017/10/01,10:54:17,34.771033,126.331517,13.5,217.8,218
1144,440320190,  2017/10/01,10:54:28,34.770333,126.330867,13.5,217.5,218
1146,440320190,  2017/10/01,10:54:37,34.769983,126.330533,13.5,217.3,217
1148,440320190,  2017/10/01,10:54:48,34.769332,126.32995,13.5,215.8,216
1150,440320190,  2017/10/01,10:54:57,34.768933,126.3296,13.4,215.1,215
1152,440320190,  2017/10/01,10:55:08,34.768417,126.329167,13.3,214.6,215
1154,440320190,  2017/10/01,10:55:17,34.768017,126.328817,13.3,214.4,214
1157,440320190,  2017/10/01,10:55:37,34.766933,126.327933,13.2,213.9,214
1163,440320190,  2017/10/01,10:55:57,34.765867,126.32705,13.3,215.6,216
1167,440320190,  2017/10/01,10:56:08,34.765367,126.3266,13.3,215.1,215
1169,440320190,  2017/10/01,10:56:17,34.764917,126.326217,13.3,215.6,216
1171,440320190,  2017/10/01,10:56:28,34.7643,126.325683,13.4,216.9,217
1173,440320190,  2017/10/01,10:56:37,34.763917,126.325317,13.4,216.5,217
1680,440320190,  2017/10/01,14:04:47,34.761333,126.325467,12.7,45.5,46
1681,440320190,  2017/10/01,14:04:57,34.76175,126.325983,12.7,45.1,45
1682,440320190,  2017/10/01,14:05:08,34.762217,126.32655,12.8,44.8,45
1683,440320190,  2017/10/01,14:05:17,34.762683,126.3271,12.9,44.2,44
1684,440320190,  2017/10/01,14:05:28,34.763117,126.327617,13.0,43.7,44
1685,440320190,  2017/10/01,14:05:36,34.763467,126.328017,12.9,43.4,43
1686,440320190,  2017/10/01,14:05:47,34.7639,126.328517,12.9,42.8,43
1687,440320190,  2017/10/01,14:05:57,34.764383,126.329067,12.8,42.5,43
1688,440320190,  2017/10/01,14:06:08,34.764833,126.32955,12.8,41.4,41
1689,440320190,  2017/10/01,14:06:17,34.765283,126.330017,12.8,41.1,41
